Lfd,Code,Researchers,Language,Date,Start,End,Check,Verb,Sentencetype,Item,Rating,Origin
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,E,AI,52,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,E,AA,75,5,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,E,PN,94,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,E,PI,109,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,M,PA,9,2,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,M,AA,28,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,M,PN,73,4,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,M,PI,88,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,M,AI,99,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,P,PI,19,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,P,PN,39,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,P,AA,67,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,P,PA,79,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,P,AI,117,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,S,AI,7,4,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,S,PI,45,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,S,PN,58,2,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,S,AI,90,3,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,S,PA,119,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,T,PI,22,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,T,AA,43,2,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,T,AI,64,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,T,PN,82,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,T,PA,112,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,U,PA,15,2,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,U,AI,24,2,B
